,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2016,oct,1,45.0,52.0,32.0, ,54.0,83.0,14.0,0.0,30.0,30.04,29.94,69.0,87.0,51.0,10.0,10.0,10.0,33.0,9.0,25.0
1,2016,oct,2,49.0,55.0,42.0, ,65.0,87.0,33.0,0.0,30.01,30.04,29.98,62.0,75.0,52.0,10.0,10.0,10.0,34.0,11.0,25.0
2,2016,oct,3,47.0,51.0,38.0, ,58.0,80.0,25.0,0.0,30.04,30.1,29.99,66.0,77.0,55.0,10.0,10.0,10.0,26.0,10.0,22.0
3,2016,oct,4,48.0,53.0,41.0, ,64.0,81.0,26.0,0.0,29.94,29.97,29.89,64.0,81.0,48.0,10.0,10.0,10.0,32.0,9.0,26.0
4,2016,oct,5,47.0,50.0,42.0, ,51.0,83.0,32.0,0.0,29.97,30.01,29.92,66.0,80.0,54.0,10.0,10.0,10.0,29.0,11.0,23.0
5,2016,oct,6,42.0,51.0,37.0, ,40.0,72.0,18.0,0.0,29.95,30.0,29.89,74.0,88.0,60.0,10.0,10.0,10.0,28.0,9.0,22.0
6,2016,oct,7,37.0,45.0,26.0, ,33.0,57.0,9.0,0.0,29.89,29.93,29.84,75.0,95.0,57.0,10.0,10.0,9.0,0.0,3.0,16.0
7,2016,oct,8,34.0,39.0,27.0, ,29.0,49.0,11.0,0.0,29.88,29.94,29.86,74.0,93.0,54.0,10.0,10.0,10.0,0.0,3.0,14.0
8,2016,oct,9,39.0,48.0,32.0, ,39.0,58.0,16.0,0.0,29.96,29.98,29.93,68.0,87.0,51.0,10.0,10.0,10.0,0.0,2.0,10.0
9,2016,oct,10,50.0,53.0,41.0,Fog,79.0,97.0,48.0,0.0,29.98,30.01,29.95,62.0,75.0,50.0,6.0,10.0,0.0,17.0,4.0,10.0
10,2016,oct,11,51.0,53.0,48.0,Rain,68.0,83.0,47.0,0.01,30.05,30.09,30.01,64.0,73.0,53.0,10.0,10.0,8.0,0.0,6.0,17.0
11,2016,oct,12,51.0,54.0,46.0, ,74.0,87.0,48.0,0.0,30.06,30.1,30.0,62.0,73.0,51.0,10.0,10.0,10.0,20.0,5.0,18.0
12,2016,oct,13,53.0,56.0,50.0, ,79.0,93.0,49.0,0.0,30.04,30.07,29.98,64.0,75.0,54.0,8.0,10.0,1.0,0.0,4.0,15.0
13,2016,oct,14,56.0,60.0,53.0, ,71.0,83.0,50.0,0.0,30.02,30.06,29.99,68.0,77.0,60.0,10.0,10.0,10.0,0.0,5.0,18.0
14,2016,oct,15,63.0,65.0,59.0,Rain,88.0,94.0,78.0,0.06,29.99,30.03,29.95,66.0,70.0,64.0,6.0,10.0,2.0,0.0,3.0,10.0
15,2016,oct,16,63.0,64.0,61.0,Rain,89.0,97.0,70.0,0.38,29.96,30.0,29.91,68.0,71.0,64.0,5.0,10.0,1.0,21.0,7.0,16.0
