year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2016,feb,1,30.0,37.0,22.0, ,49.0,73.0,26.0,0.0,30.13,30.29,29.93,50.0,59.0,39.0,10.0,10.0,10.0,25.0,6.0,21.0
2016,feb,2,40.0,47.0,31.0, ,77.0,93.0,45.0,0.0,30.26,30.3,30.21,46.0,55.0,36.0,10.0,10.0,9.0,0.0,3.0,7.0
2016,feb,3,40.0,47.0,35.0, ,70.0,89.0,37.0,0.0,30.35,30.41,30.29,51.0,63.0,39.0,10.0,10.0,10.0,0.0,4.0,16.0
2016,feb,4,37.0,40.0,33.0, ,56.0,86.0,31.0,0.0,30.34,30.4,30.28,56.0,70.0,42.0,10.0,10.0,10.0,0.0,5.0,10.0
2016,feb,5,39.0,46.0,35.0, ,61.0,80.0,26.0,0.0,30.33,30.36,30.3,57.0,73.0,41.0,10.0,10.0,10.0,0.0,3.0,12.0
2016,feb,6,35.0,42.0,27.0, ,43.0,82.0,17.0,0.0,30.27,30.37,30.19,61.0,78.0,44.0,10.0,10.0,10.0,0.0,3.0,15.0
2016,feb,7,37.0,46.0,29.0, ,40.0,68.0,20.0,0.0,30.15,30.2,30.1,66.0,80.0,51.0,10.0,10.0,10.0,0.0,4.0,9.0
2016,feb,8,43.0,51.0,35.0, ,52.0,74.0,17.0,0.0,30.13,30.17,30.08,66.0,84.0,48.0,10.0,10.0,10.0,0.0,2.0,9.0
2016,feb,9,44.0,50.0,38.0, ,54.0,76.0,22.0,0.0,30.14,30.19,30.06,66.0,87.0,45.0,10.0,10.0,10.0,28.0,3.0,18.0
2016,feb,10,46.0,55.0,40.0, ,60.0,83.0,42.0,0.0,30.13,30.19,30.08,62.0,78.0,45.0,10.0,10.0,10.0,0.0,3.0,14.0
2016,feb,11,48.0,55.0,39.0,Fog,75.0,97.0,28.0,0.0,30.12,30.17,30.08,64.0,81.0,46.0,7.0,10.0,0.0,0.0,2.0,14.0
2016,feb,12,48.0,56.0,42.0,Fog,73.0,97.0,42.0,0.0,30.11,30.15,30.04,62.0,80.0,44.0,7.0,10.0,0.0,0.0,3.0,16.0
2016,feb,13,49.0,58.0,39.0, ,52.0,72.0,36.0,0.0,30.13,30.21,30.1,68.0,78.0,59.0,10.0,10.0,10.0,21.0,8.0,15.0
2016,feb,14,47.0,50.0,46.0, ,49.0,69.0,36.0,0.0,30.14,30.19,30.09,66.0,77.0,55.0,10.0,10.0,10.0,26.0,6.0,15.0
2016,feb,15,50.0,56.0,46.0, ,46.0,62.0,32.0,0.0,30.0,30.08,29.93,72.0,84.0,59.0,10.0,10.0,10.0,21.0,7.0,14.0
2016,feb,16,46.0,56.0,41.0, ,52.0,77.0,19.0,0.0,29.87,29.97,29.79,70.0,88.0,52.0,10.0,10.0,10.0,0.0,3.0,9.0
2016,feb,17,50.0,56.0,42.0,Rain,76.0,93.0,50.0,0.49,29.77,29.83,29.7,57.0,66.0,48.0,8.0,10.0,2.0,36.0,8.0,26.0
2016,feb,18,49.0,52.0,45.0,Rain,78.0,94.0,48.0,0.18,29.97,30.07,29.82,58.0,64.0,51.0,9.0,10.0,2.0,0.0,6.0,16.0
2016,feb,19,46.0,51.0,40.0, ,78.0,93.0,52.0,0.0,30.14,30.18,30.05,53.0,64.0,42.0,10.0,10.0,10.0,0.0,5.0,20.0
2016,feb,20,47.0,53.0,41.0, ,69.0,86.0,49.0,0.0,30.13,30.18,30.07,60.0,71.0,48.0,10.0,10.0,10.0,21.0,6.0,20.0
2016,feb,21,46.0,51.0,38.0, ,68.0,90.0,39.0,0.0,30.15,30.18,30.12,57.0,73.0,41.0,10.0,10.0,10.0,26.0,6.0,20.0
2016,feb,22,40.0,45.0,29.0, ,42.0,74.0,27.0,0.0,30.08,30.15,29.99,63.0,73.0,53.0,10.0,10.0,10.0,21.0,6.0,15.0
2016,feb,23,45.0,51.0,37.0, ,59.0,83.0,28.0,0.0,30.0,30.08,29.93,64.0,79.0,48.0,10.0,10.0,10.0,31.0,5.0,24.0
2016,feb,24,44.0,52.0,39.0, ,63.0,86.0,35.0,0.0,30.1,30.14,30.07,59.0,75.0,43.0,10.0,10.0,9.0,0.0,3.0,16.0
2016,feb,25,44.0,56.0,37.0, ,62.0,83.0,36.0,0.0,30.08,30.11,30.06,60.0,77.0,43.0,10.0,10.0,10.0,0.0,3.0,14.0
2016,feb,26,51.0,57.0,41.0, ,84.0,93.0,59.0,0.0,30.13,30.17,30.07,58.0,71.0,45.0,9.0,10.0,6.0,22.0,5.0,18.0
2016,feb,27,53.0,58.0,48.0, ,77.0,97.0,45.0,0.0,30.09,30.14,30.02,66.0,79.0,52.0,9.0,10.0,2.0,25.0,8.0,20.0
2016,feb,28,48.0,55.0,32.0, ,61.0,89.0,30.0,0.0,30.08,30.12,30.04,64.0,77.0,51.0,10.0,10.0,10.0,26.0,6.0,18.0
2016,feb,29,44.0,53.0,34.0, ,43.0,60.0,26.0,0.0,30.07,30.11,30.03,70.0,81.0,59.0,10.0,10.0,10.0,0.0,6.0,16.0
