year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2017,mar,1,37.0,43.0,33.0, ,48.0,73.0,26.0,0.0,30.29,30.35,30.24,58.0,73.0,44.0,10.0,10.0,10.0,22.0,5.0,16.0
2017,mar,2,39.0,43.0,36.0, ,45.0,64.0,23.0,0.0,30.19,30.27,30.1,63.0,78.0,48.0,10.0,10.0,10.0,0.0,5.0,10.0
2017,mar,3,41.0,49.0,34.0, ,55.0,89.0,21.0,0.0,30.02,30.11,29.97,63.0,78.0,48.0,10.0,10.0,9.0,0.0,2.0,14.0
2017,mar,4,46.0,49.0,44.0, ,77.0,90.0,50.0,0.0,30.01,30.07,29.97,56.0,64.0,46.0,10.0,10.0,7.0,0.0,5.0,14.0
2017,mar,5,44.0,49.0,35.0,Rain,79.0,96.0,51.0,0.22,30.0,30.21,29.93,49.0,57.0,39.0,8.0,10.0,2.0,26.0,6.0,20.0
2017,mar,6,36.0,43.0,31.0, ,66.0,86.0,34.0,0.0,30.26,30.31,30.21,49.0,63.0,35.0,10.0,10.0,10.0,28.0,6.0,23.0
2017,mar,7,39.0,45.0,34.0, ,49.0,68.0,38.0,0.0,30.23,30.28,30.17,58.0,70.0,45.0,10.0,10.0,10.0,0.0,8.0,15.0
2017,mar,8,41.0,44.0,39.0, ,46.0,74.0,26.0,0.0,30.14,30.22,30.08,62.0,77.0,48.0,10.0,10.0,10.0,30.0,5.0,16.0
2017,mar,9,49.0,54.0,44.0, ,50.0,69.0,34.0,0.0,30.08,30.13,30.03,70.0,82.0,59.0,10.0,10.0,10.0,20.0,7.0,17.0
2017,mar,10,52.0,58.0,47.0, ,56.0,72.0,35.0,0.0,30.04,30.09,29.99,70.0,82.0,57.0,10.0,10.0,10.0,17.0,5.0,17.0
2017,mar,11,53.0,57.0,49.0, ,58.0,78.0,42.0,0.0,30.05,30.09,30.01,70.0,82.0,59.0,10.0,10.0,10.0,23.0,8.0,17.0
2017,mar,12,49.0,53.0,46.0, ,46.0,61.0,26.0,0.0,30.04,30.09,29.98,74.0,84.0,64.0,10.0,10.0,10.0,28.0,9.0,21.0
2017,mar,13,53.0,59.0,47.0, ,58.0,80.0,36.0,0.0,30.0,30.04,29.96,72.0,89.0,55.0,10.0,10.0,10.0,0.0,3.0,9.0
2017,mar,14,52.0,58.0,48.0,Fog,83.0,96.0,42.0,0.0,30.06,30.1,29.99,66.0,80.0,51.0,6.0,10.0,0.0,0.0,3.0,12.0
2017,mar,15,51.0,55.0,48.0,Fog,88.0,97.0,55.0,0.0,30.11,30.17,30.06,61.0,75.0,50.0,5.0,10.0,0.0,34.0,7.0,22.0
2017,mar,16,52.0,56.0,50.0, ,81.0,93.0,53.0,0.0,30.11,30.16,30.04,63.0,73.0,53.0,8.0,10.0,2.0,0.0,7.0,22.0
