year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2017,jan,1,39.0,43.0,33.0, ,73.0,89.0,59.0,0.0,29.98,30.03,29.95,46.0,55.0,37.0,10.0,10.0,10.0,0.0,4.0,13.0
2017,jan,2,41.0,42.0,39.0, ,73.0,82.0,53.0,0.0,30.08,30.16,30.02,51.0,57.0,45.0,10.0,10.0,10.0,0.0,3.0,7.0
2017,jan,3,45.0,50.0,40.0,Rain,71.0,85.0,53.0,0.01,30.11,30.16,30.06,52.0,61.0,44.0,10.0,10.0,6.0,0.0,5.0,14.0
2017,jan,4,55.0,58.0,51.0,Rain,89.0,94.0,78.0,2.32,30.03,30.09,29.98,58.0,60.0,55.0,3.0,10.0,1.0,24.0,10.0,17.0
2017,jan,5,53.0,57.0,38.0,Rain,87.0,97.0,64.0,0.04,29.99,30.05,29.95,52.0,61.0,41.0,6.0,10.0,2.0,0.0,5.0,14.0
2017,jan,6,40.0,45.0,34.0,Rain,74.0,93.0,45.0,0.02,30.07,30.14,30.01,50.0,64.0,37.0,10.0,10.0,9.0,0.0,2.0,7.0
2017,jan,7,52.0,54.0,45.0,Rain,84.0,93.0,67.0,0.54,30.09,30.16,30.0,56.0,61.0,51.0,8.0,10.0,2.0,0.0,6.0,13.0
2017,jan,8,51.0,55.0,43.0,Rain,75.0,94.0,35.0,1.92,30.07,30.14,30.01,64.0,73.0,55.0,6.0,10.0,2.0,37.0,9.0,21.0
2017,jan,9,55.0,58.0,51.0,Rain,87.0,96.0,70.0,0.2,30.12,30.18,30.06,59.0,63.0,55.0,7.0,10.0,1.0,0.0,5.0,9.0
2017,jan,10,55.0,57.0,52.0,Rain,88.0,93.0,83.0,0.55,30.05,30.16,29.92,58.0,61.0,55.0,6.0,10.0,1.0,37.0,6.0,25.0
2017,jan,11,53.0,57.0,50.0,Rain,85.0,94.0,70.0,0.31,29.96,30.01,29.93,58.0,61.0,55.0,7.0,10.0,2.0,28.0,7.0,17.0
2017,jan,12,48.0,52.0,39.0,Rain,81.0,89.0,62.0,0.6,29.92,30.03,29.84,50.0,57.0,42.0,8.0,10.0,2.0,23.0,8.0,16.0
2017,jan,13,39.0,41.0,36.0, ,68.0,89.0,47.0,0.0,30.1,30.17,30.03,50.0,60.0,39.0,10.0,10.0,10.0,22.0,4.0,10.0
2017,jan,14,38.0,42.0,34.0, ,55.0,76.0,37.0,0.0,30.1,30.16,30.05,56.0,66.0,44.0,10.0,10.0,10.0,17.0,8.0,16.0
2017,jan,15,37.0,41.0,33.0, ,62.0,80.0,44.0,0.0,30.06,30.1,30.01,52.0,63.0,41.0,10.0,10.0,10.0,0.0,5.0,13.0
2017,jan,16,37.0,42.0,32.0, ,68.0,86.0,39.0,0.0,30.08,30.14,30.05,50.0,64.0,36.0,10.0,10.0,10.0,0.0,2.0,7.0
2017,jan,17,39.0,45.0,33.0, ,70.0,89.0,39.0,0.0,30.11,30.17,30.08,50.0,64.0,37.0,10.0,10.0,10.0,0.0,2.0,9.0
2017,jan,18,45.0,50.0,38.0,Rain,80.0,93.0,70.0,0.49,30.08,30.15,29.94,50.0,57.0,42.0,9.0,10.0,3.0,0.0,5.0,16.0
2017,jan,19,49.0,51.0,46.0,"Rain,Thunderstorm",87.0,97.0,67.0,0.53,29.92,29.97,29.83,54.0,59.0,48.0,8.0,10.0,2.0,18.0,4.0,9.0
2017,jan,20,48.0,53.0,43.0,Rain,84.0,89.0,69.0,1.61,29.56,29.8,29.44,52.0,57.0,46.0,7.0,10.0,1.0,34.0,9.0,20.0
2017,jan,21,45.0,48.0,42.0,Rain,82.0,90.0,67.0,0.06,29.87,30.01,29.64,51.0,57.0,45.0,9.0,10.0,5.0,0.0,5.0,15.0
2017,jan,22,50.0,53.0,45.0,Rain,83.0,90.0,75.0,1.1,29.82,29.94,29.76,54.0,59.0,50.0,6.0,10.0,1.0,36.0,15.0,21.0
2017,jan,23,42.0,45.0,38.0,Rain,78.0,90.0,62.0,0.19,29.89,29.98,29.81,48.0,54.0,42.0,9.0,10.0,4.0,18.0,5.0,14.0
2017,jan,24,39.0,43.0,35.0, ,76.0,97.0,57.0,0.0,30.03,30.2,29.95,47.0,57.0,37.0,10.0,10.0,10.0,0.0,2.0,5.0
2017,jan,25,37.0,42.0,32.0, ,71.0,89.0,39.0,0.0,30.3,30.36,30.23,48.0,62.0,35.0,10.0,10.0,10.0,0.0,4.0,15.0
2017,jan,26,35.0,38.0,32.0, ,59.0,86.0,34.0,0.0,30.37,30.44,30.33,50.0,63.0,37.0,10.0,10.0,10.0,17.0,4.0,15.0
2017,jan,27,37.0,41.0,34.0, ,57.0,76.0,35.0,0.0,30.48,30.53,30.42,54.0,63.0,43.0,10.0,10.0,10.0,0.0,5.0,7.0
2017,jan,28,36.0,43.0,30.0, ,57.0,82.0,19.0,0.0,30.44,30.51,30.38,56.0,77.0,35.0,10.0,10.0,10.0,0.0,2.0,12.0
2017,jan,29,37.0,44.0,31.0, ,54.0,76.0,29.0,0.0,30.29,30.37,30.19,58.0,78.0,37.0,10.0,10.0,10.0,0.0,4.0,12.0
2017,jan,30,38.0,43.0,31.0, ,54.0,76.0,19.0,0.0,30.15,30.2,30.12,60.0,77.0,43.0,10.0,10.0,10.0,0.0,4.0,9.0
2017,jan,31,39.0,46.0,30.0, ,60.0,82.0,19.0,0.0,30.08,30.13,30.05,58.0,75.0,42.0,10.0,10.0,10.0,0.0,2.0,7.0
