year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2017,apr,1,42.0,52.0,38.0, ,55.0,80.0,25.0,0.0,29.98,30.01,29.96,62.0,80.0,45.0,10.0,10.0,9.0,0.0,4.0,17.0
2017,apr,2,49.0,55.0,43.0,Fog,80.0,96.0,50.0,0.0,29.99,30.04,29.94,60.0,72.0,48.0,7.0,10.0,0.0,0.0,4.0,14.0
2017,apr,3,49.0,54.0,41.0,Fog,81.0,97.0,48.0,0.0,29.93,29.97,29.87,62.0,73.0,50.0,6.0,10.0,0.0,18.0,4.0,20.0
2017,apr,4,48.0,53.0,40.0, ,76.0,93.0,49.0,0.0,30.02,30.07,29.97,58.0,71.0,45.0,8.0,10.0,2.0,0.0,3.0,9.0
2017,apr,5,48.0,52.0,41.0,Fog,74.0,97.0,29.0,0.0,30.02,30.07,29.98,62.0,78.0,48.0,6.0,10.0,0.0,0.0,4.0,10.0
2017,apr,6,46.0,52.0,34.0, ,68.0,90.0,32.0,0.0,29.97,30.0,29.93,59.0,68.0,50.0,10.0,10.0,7.0,0.0,4.0,12.0
2017,apr,7,53.0,58.0,39.0,Rain,80.0,90.0,43.0,0.62,29.96,30.0,29.91,58.0,63.0,55.0,6.0,10.0,1.0,26.0,7.0,20.0
2017,apr,8,48.0,56.0,37.0,Rain,73.0,90.0,46.0,0.03,30.06,30.15,29.98,56.0,62.0,51.0,10.0,10.0,5.0,30.0,9.0,21.0
2017,apr,9,41.0,47.0,36.0, ,58.0,80.0,27.0,0.0,30.14,30.18,30.08,60.0,72.0,48.0,10.0,10.0,10.0,31.0,10.0,25.0
2017,apr,10,41.0,49.0,37.0, ,53.0,83.0,27.0,0.0,30.09,30.15,30.01,64.0,78.0,50.0,10.0,10.0,10.0,26.0,8.0,21.0
2017,apr,11,46.0,51.0,40.0,Rain,67.0,86.0,36.0,0.0,30.03,30.08,29.97,58.0,71.0,46.0,10.0,10.0,10.0,0.0,7.0,18.0
2017,apr,12,52.0,59.0,45.0, ,78.0,90.0,65.0,0.0,30.03,30.06,30.01,60.0,70.0,50.0,10.0,10.0,10.0,17.0,5.0,13.0
2017,apr,13,50.0,54.0,43.0,Rain,77.0,94.0,53.0,0.09,30.05,30.13,29.97,58.0,64.0,51.0,8.0,10.0,2.0,21.0,7.0,17.0
2017,apr,14,40.0,46.0,33.0, ,54.0,75.0,27.0,0.0,30.09,30.14,30.04,60.0,71.0,50.0,10.0,10.0,10.0,31.0,13.0,21.0
2017,apr,15,38.0,47.0,30.0, ,44.0,77.0,28.0,0.0,29.99,30.07,29.93,65.0,81.0,50.0,10.0,10.0,10.0,0.0,8.0,21.0
2017,apr,16,43.0,48.0,32.0, ,59.0,86.0,27.0,0.0,30.02,30.06,29.95,59.0,70.0,48.0,10.0,10.0,10.0,0.0,3.0,9.0
2017,apr,17,55.0,60.0,45.0,Rain,84.0,94.0,57.0,0.15,30.05,30.07,30.03,60.0,64.0,55.0,6.0,10.0,2.0,0.0,4.0,15.0
2017,apr,18,56.0,61.0,53.0,Rain,89.0,94.0,80.0,0.42,30.08,30.17,30.01,60.0,64.0,55.0,6.0,10.0,1.0,0.0,4.0,14.0
2017,apr,19,51.0,56.0,46.0,Fog,75.0,97.0,47.0,0.0,30.17,30.21,30.14,62.0,73.0,51.0,8.0,10.0,0.0,33.0,5.0,24.0
2017,apr,20,47.0,52.0,40.0, ,58.0,77.0,43.0,0.0,30.17,30.22,30.12,63.0,75.0,53.0,10.0,10.0,10.0,32.0,11.0,25.0
2017,apr,21,42.0,48.0,38.0, ,42.0,75.0,25.0,0.0,30.01,30.13,29.91,70.0,84.0,55.0,10.0,10.0,10.0,30.0,11.0,22.0
2017,apr,22,50.0,53.0,45.0, ,67.0,87.0,37.0,0.0,29.94,29.97,29.92,64.0,80.0,52.0,10.0,10.0,10.0,30.0,9.0,25.0
2017,apr,23,49.0,53.0,44.0, ,72.0,90.0,44.0,0.0,29.94,29.97,29.89,61.0,72.0,52.0,10.0,10.0,8.0,36.0,10.0,26.0
2017,apr,24,49.0,51.0,44.0, ,72.0,90.0,50.0,0.0,30.0,30.04,29.96,60.0,69.0,52.0,10.0,10.0,9.0,33.0,13.0,24.0
2017,apr,25,48.0,51.0,44.0, ,71.0,89.0,47.0,0.0,30.02,30.06,29.98,59.0,68.0,52.0,10.0,10.0,10.0,32.0,13.0,25.0
2017,apr,26,53.0,57.0,48.0, ,77.0,93.0,55.0,0.0,30.01,30.06,29.96,62.0,73.0,53.0,8.0,10.0,1.0,34.0,13.0,26.0
2017,apr,27,50.0,54.0,44.0, ,77.0,94.0,47.0,0.0,29.95,29.99,29.91,62.0,70.0,53.0,8.0,10.0,1.0,33.0,15.0,23.0
2017,apr,28,44.0,48.0,41.0, ,57.0,80.0,33.0,0.0,29.93,29.97,29.88,62.0,75.0,51.0,10.0,10.0,9.0,28.0,13.0,25.0
2017,apr,29,40.0,47.0,31.0, ,49.0,83.0,19.0,0.0,30.04,30.11,29.98,62.0,81.0,46.0,10.0,10.0,9.0,24.0,6.0,23.0
2017,apr,30,45.0,49.0,40.0, ,58.0,80.0,34.0,0.0,30.06,30.11,30.01,63.0,80.0,46.0,10.0,10.0,10.0,29.0,5.0,22.0
