year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2014,feb,1,35.0,43.0,25.0, ,58.0,80.0,24.0,0.0,30.1,30.15,30.05,52.0,63.0,42.0,10.0,10.0,10.0,28.0,7.0,21.0
2014,feb,2,40.0,47.0,26.0,Rain,76.0,93.0,41.0,0.64,29.98,30.09,29.91,47.0,55.0,39.0,7.0,10.0,2.0,23.0,5.0,15.0
2014,feb,3,42.0,45.0,37.0, ,78.0,93.0,42.0,0.0,29.98,30.06,29.92,50.0,60.0,41.0,7.0,10.0,1.0,20.0,3.0,13.0
2014,feb,4,39.0,43.0,35.0, ,65.0,82.0,41.0,0.0,30.09,30.14,30.04,50.0,60.0,41.0,10.0,10.0,10.0,0.0,7.0,15.0
2014,feb,5,39.0,44.0,35.0, ,64.0,79.0,37.0,0.0,30.13,30.2,30.08,52.0,63.0,41.0,10.0,10.0,10.0,23.0,7.0,18.0
2014,feb,6,50.0,54.0,43.0,Rain,88.0,94.0,74.0,0.42,29.99,30.08,29.92,52.0,57.0,48.0,5.0,10.0,1.0,16.0,7.0,16.0
2014,feb,7,49.0,52.0,47.0, ,81.0,94.0,64.0,0.0,30.13,30.21,30.06,56.0,60.0,51.0,10.0,10.0,10.0,0.0,2.0,8.0
2014,feb,8,53.0,56.0,48.0, ,88.0,94.0,75.0,0.02,30.23,30.27,30.2,58.0,62.0,53.0,6.0,10.0,2.0,105.0,5.0,14.0
2014,feb,9,55.0,55.0,52.0,Rain,86.0,94.0,65.0,0.01,30.21,30.25,30.16,60.0,64.0,55.0,8.0,10.0,2.0,0.0,2.0,12.0
2014,feb,10,54.0,56.0,50.0,Rain,87.0,94.0,67.0,0.03,30.18,30.23,30.13,60.0,66.0,55.0,8.0,10.0,2.0,28.0,4.0,20.0
2014,feb,11,48.0,50.0,45.0, ,65.0,86.0,36.0,0.0,30.13,30.18,30.08,64.0,75.0,50.0,10.0,10.0,10.0,31.0,7.0,17.0
2014,feb,12,46.0,50.0,41.0, ,66.0,86.0,29.0,0.0,30.13,30.18,30.08,60.0,75.0,46.0,10.0,10.0,10.0,28.0,7.0,20.0
2014,feb,13,46.0,51.0,32.0,Fog,69.0,96.0,16.0,0.0,30.09,30.12,30.03,65.0,82.0,48.0,7.0,10.0,0.0,0.0,4.0,20.0
2014,feb,14,48.0,52.0,44.0,Fog,88.0,100.0,43.0,0.0,30.09,30.14,30.04,60.0,73.0,46.0,4.0,10.0,0.0,30.0,5.0,24.0
2014,feb,15,48.0,52.0,42.0,Fog,85.0,97.0,52.0,0.0,30.03,30.09,29.99,56.0,68.0,44.0,6.0,10.0,0.0,0.0,2.0,16.0
2014,feb,16,49.0,52.0,45.0, ,70.0,94.0,31.0,0.0,30.06,30.11,30.01,65.0,78.0,52.0,10.0,10.0,10.0,40.0,8.0,23.0
2014,feb,17,46.0,49.0,42.0,Fog,76.0,97.0,48.0,0.0,30.07,30.1,30.04,56.0,66.0,46.0,8.0,10.0,0.0,25.0,4.0,20.0
2014,feb,18,38.0,43.0,30.0, ,42.0,62.0,28.0,0.0,30.04,30.09,29.99,61.0,72.0,50.0,10.0,10.0,10.0,20.0,6.0,15.0
2014,feb,19,44.0,49.0,34.0, ,56.0,86.0,32.0,0.0,30.06,30.11,30.02,63.0,75.0,51.0,10.0,10.0,9.0,34.0,14.0,24.0
2014,feb,20,32.0,41.0,25.0, ,31.0,55.0,19.0,0.0,30.05,30.1,29.99,64.0,75.0,54.0,10.0,10.0,10.0,20.0,5.0,16.0
2014,feb,21,36.0,46.0,33.0, ,37.0,65.0,18.0,0.0,29.97,30.02,29.91,68.0,80.0,55.0,10.0,10.0,10.0,25.0,6.0,18.0
2014,feb,22,41.0,49.0,34.0, ,53.0,86.0,20.0,0.0,29.92,29.95,29.87,64.0,81.0,48.0,10.0,10.0,8.0,29.0,5.0,23.0
2014,feb,23,46.0,50.0,41.0,Fog,82.0,97.0,35.0,0.0,29.97,30.0,29.93,58.0,71.0,45.0,4.0,10.0,0.0,0.0,2.0,14.0
2014,feb,24,47.0,49.0,43.0,Fog,86.0,100.0,45.0,0.0,29.99,30.01,29.93,56.0,68.0,44.0,4.0,10.0,0.0,0.0,2.0,10.0
2014,feb,25,47.0,50.0,45.0, ,82.0,93.0,58.0,0.0,30.0,30.03,29.96,55.0,62.0,48.0,6.0,10.0,1.0,0.0,3.0,12.0
2014,feb,26,51.0,55.0,47.0,Rain,78.0,94.0,64.0,0.21,29.95,30.03,29.85,59.0,63.0,55.0,8.0,10.0,1.0,28.0,8.0,21.0
2014,feb,27,51.0,56.0,43.0,Rain,73.0,90.0,39.0,0.09,29.88,29.99,29.62,62.0,69.0,54.0,10.0,10.0,7.0,29.0,8.0,18.0
2014,feb,28,53.0,56.0,50.0,Rain,82.0,90.0,75.0,0.22,29.55,29.61,29.5,58.0,61.0,55.0,8.0,10.0,1.0,33.0,13.0,24.0
