,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2015,aug,1,58.0,59.0,58.0, ,73.0,87.0,50.0,0.0,29.97,30.01,29.93,70.0,78.0,62.0,10.0,10.0,10.0,0.0,10.0,20.0
1,2015,aug,2,58.0,60.0,56.0, ,74.0,90.0,48.0,0.0,29.93,29.96,29.89,70.0,78.0,63.0,10.0,10.0,10.0,29.0,11.0,22.0
2,2015,aug,3,56.0,57.0,54.0, ,70.0,87.0,46.0,0.0,29.95,29.98,29.92,69.0,78.0,61.0,10.0,10.0,10.0,30.0,9.0,23.0
3,2015,aug,4,55.0,58.0,52.0, ,68.0,87.0,42.0,0.0,29.98,30.01,29.95,67.0,77.0,57.0,10.0,10.0,10.0,28.0,8.0,22.0
4,2015,aug,5,57.0,58.0,56.0, ,72.0,86.0,43.0,0.0,29.96,30.03,29.92,71.0,82.0,62.0,10.0,10.0,10.0,29.0,9.0,22.0
5,2015,aug,6,58.0,59.0,57.0, ,79.0,93.0,57.0,0.0,29.89,29.92,29.85,68.0,77.0,60.0,10.0,10.0,5.0,0.0,5.0,18.0
6,2015,aug,7,55.0,57.0,53.0, ,69.0,84.0,48.0,0.0,29.91,29.96,29.87,68.0,77.0,61.0,10.0,10.0,8.0,0.0,6.0,16.0
7,2015,aug,8,55.0,57.0,51.0, ,71.0,87.0,48.0,0.0,29.94,29.97,29.92,66.0,78.0,55.0,10.0,10.0,10.0,22.0,5.0,17.0
8,2015,aug,9,57.0,59.0,55.0, ,79.0,90.0,53.0,0.0,29.95,29.97,29.91,66.0,75.0,57.0,9.0,10.0,3.0,0.0,7.0,14.0
9,2015,aug,10,58.0,60.0,57.0,Rain,79.0,93.0,54.0,0.0,29.96,30.0,29.89,68.0,75.0,62.0,8.0,10.0,2.0,21.0,5.0,16.0
10,2015,aug,11,57.0,58.0,54.0, ,74.0,84.0,53.0,0.0,29.95,30.0,29.91,68.0,77.0,62.0,10.0,10.0,10.0,0.0,5.0,21.0
