,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2015,jan,1,28.0,37.0,17.0, ,64.0,89.0,20.0,0.0,30.12,30.16,30.08,42.0,57.0,27.0,10.0,10.0,10.0,0.0,2.0,8.0
1,2015,jan,2,34.0,44.0,28.0, ,72.0,92.0,36.0,0.0,30.14,30.19,30.06,44.0,57.0,30.0,10.0,10.0,10.0,0.0,3.0,14.0
2,2015,jan,3,31.0,39.0,27.0, ,69.0,89.0,32.0,0.0,30.24,30.3,30.17,44.0,59.0,30.0,10.0,10.0,10.0,0.0,3.0,7.0
3,2015,jan,4,36.0,47.0,30.0, ,71.0,89.0,33.0,0.0,30.32,30.39,30.29,48.0,64.0,33.0,10.0,10.0,10.0,0.0,3.0,14.0
4,2015,jan,5,37.0,43.0,32.0, ,57.0,76.0,23.0,0.0,30.23,30.3,30.16,58.0,77.0,39.0,10.0,10.0,10.0,0.0,3.0,7.0
5,2015,jan,6,40.0,46.0,35.0, ,61.0,83.0,28.0,0.0,30.16,30.22,30.11,59.0,79.0,39.0,10.0,10.0,10.0,0.0,2.0,7.0
6,2015,jan,7,40.0,45.0,35.0, ,61.0,82.0,24.0,0.0,30.1,30.18,30.05,60.0,79.0,41.0,10.0,10.0,10.0,0.0,3.0,8.0
7,2015,jan,8,45.0,50.0,40.0, ,69.0,86.0,35.0,0.0,30.03,30.06,29.99,59.0,72.0,46.0,10.0,10.0,10.0,0.0,3.0,12.0
8,2015,jan,9,48.0,53.0,45.0, ,78.0,93.0,47.0,0.0,30.0,30.04,29.95,57.0,68.0,46.0,10.0,10.0,10.0,0.0,4.0,14.0
9,2015,jan,10,47.0,52.0,43.0,Rain,69.0,93.0,42.0,0.01,29.97,30.01,29.93,59.0,66.0,52.0,10.0,10.0,8.0,0.0,2.0,12.0
10,2015,jan,11,51.0,53.0,47.0,"Fog,Rain",86.0,100.0,59.0,0.01,30.07,30.15,29.99,58.0,68.0,48.0,8.0,10.0,0.0,0.0,3.0,14.0
11,2015,jan,12,48.0,52.0,45.0,Fog,86.0,100.0,50.0,0.0,30.16,30.21,30.12,56.0,68.0,44.0,4.0,10.0,0.0,0.0,2.0,13.0
12,2015,jan,13,45.0,50.0,41.0, ,73.0,90.0,41.0,0.0,30.12,30.17,30.05,58.0,70.0,45.0,9.0,10.0,5.0,0.0,2.0,10.0
13,2015,jan,14,41.0,46.0,36.0, ,70.0,93.0,37.0,0.0,30.19,30.26,30.14,54.0,69.0,39.0,9.0,10.0,4.0,0.0,2.0,12.0
14,2015,jan,15,40.0,45.0,35.0, ,69.0,89.0,31.0,0.0,30.25,30.28,30.21,54.0,69.0,39.0,10.0,10.0,10.0,0.0,3.0,13.0
