year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2016,jun,1,54.0,55.0,52.0, ,79.0,94.0,50.0,0.0,29.92,29.95,29.88,65.0,75.0,55.0,8.0,10.0,1.0,18.0,5.0,12.0
2016,jun,2,53.0,55.0,52.0,Fog,80.0,97.0,40.0,0.0,29.97,30.0,29.94,66.0,81.0,54.0,6.0,10.0,0.0,0.0,3.0,17.0
2016,jun,3,53.0,56.0,52.0,Fog,78.0,100.0,38.0,0.0,29.95,29.98,29.89,68.0,82.0,53.0,6.0,10.0,0.0,0.0,3.0,9.0
2016,jun,4,53.0,56.0,50.0, ,69.0,93.0,25.0,0.0,29.93,29.97,29.89,72.0,91.0,54.0,9.0,10.0,2.0,0.0,3.0,9.0
2016,jun,5,54.0,55.0,52.0, ,80.0,93.0,50.0,0.0,29.89,29.93,29.85,64.0,77.0,54.0,6.0,10.0,1.0,0.0,4.0,14.0
2016,jun,6,54.0,55.0,52.0, ,77.0,93.0,48.0,0.0,29.85,29.89,29.81,65.0,75.0,55.0,10.0,10.0,4.0,0.0,6.0,16.0
2016,jun,7,55.0,56.0,53.0,Rain,77.0,89.0,48.0,0.0,29.9,29.94,29.88,66.0,77.0,57.0,10.0,10.0,8.0,28.0,9.0,20.0
2016,jun,8,54.0,56.0,52.0, ,77.0,90.0,52.0,0.0,29.9,29.92,29.87,65.0,75.0,57.0,10.0,10.0,5.0,29.0,11.0,23.0
2016,jun,9,53.0,53.0,52.0, ,77.0,90.0,49.0,0.0,29.92,29.96,29.89,64.0,73.0,55.0,9.0,10.0,1.0,0.0,8.0,20.0
2016,jun,10,53.0,55.0,50.0, ,69.0,84.0,46.0,0.0,29.93,29.99,29.88,66.0,78.0,57.0,10.0,10.0,7.0,0.0,6.0,18.0
2016,jun,11,53.0,56.0,48.0, ,70.0,83.0,59.0,0.0,29.94,29.99,29.89,62.0,72.0,54.0,10.0,10.0,4.0,17.0,5.0,13.0
2016,jun,12,54.0,55.0,53.0, ,66.0,84.0,51.0,0.0,30.06,30.11,29.98,65.0,73.0,57.0,10.0,10.0,9.0,0.0,5.0,14.0
2016,jun,13,53.0,54.0,51.0, ,74.0,87.0,50.0,0.0,30.09,30.13,30.05,64.0,73.0,55.0,10.0,10.0,9.0,0.0,4.0,17.0
2016,jun,14,48.0,52.0,47.0, ,70.0,89.0,37.0,0.0,30.0,30.05,29.95,62.0,75.0,50.0,10.0,10.0,8.0,32.0,8.0,25.0
2016,jun,15,47.0,50.0,43.0, ,66.0,86.0,40.0,0.0,30.02,30.08,29.95,58.0,69.0,48.0,10.0,10.0,10.0,30.0,7.0,23.0
2016,jun,16,48.0,55.0,43.0, ,62.0,87.0,31.0,0.0,30.05,30.08,30.04,62.0,78.0,48.0,10.0,10.0,10.0,31.0,8.0,23.0
2016,jun,17,54.0,58.0,47.0, ,74.0,90.0,38.0,0.0,30.07,30.11,30.04,66.0,81.0,52.0,10.0,10.0,7.0,23.0,7.0,21.0
2016,jun,18,54.0,57.0,51.0, ,70.0,93.0,41.0,0.0,30.08,30.1,30.04,70.0,82.0,57.0,10.0,10.0,3.0,31.0,10.0,24.0
2016,jun,19,51.0,53.0,48.0, ,54.0,83.0,27.0,0.0,29.97,30.05,29.92,72.0,90.0,54.0,10.0,10.0,10.0,31.0,6.0,24.0
2016,jun,20,51.0,53.0,48.0, ,51.0,78.0,26.0,0.0,29.93,29.99,29.88,72.0,90.0,57.0,10.0,10.0,10.0,34.0,7.0,23.0
2016,jun,21,51.0,53.0,49.0, ,55.0,77.0,25.0,0.0,29.93,29.97,29.89,74.0,93.0,57.0,10.0,10.0,8.0,0.0,6.0,18.0
2016,jun,22,52.0,53.0,50.0, ,66.0,89.0,37.0,0.0,29.95,29.99,29.92,68.0,84.0,53.0,9.0,10.0,4.0,0.0,6.0,17.0
2016,jun,23,45.0,51.0,31.0, ,50.0,86.0,10.0,0.0,29.96,29.98,29.93,72.0,98.0,48.0,10.0,10.0,7.0,29.0,7.0,24.0
2016,jun,24,50.0,52.0,48.0, ,62.0,83.0,40.0,0.0,29.96,30.0,29.92,66.0,79.0,55.0,10.0,10.0,9.0,28.0,13.0,24.0
2016,jun,25,49.0,52.0,42.0, ,57.0,86.0,18.0,0.0,29.89,29.94,29.85,72.0,96.0,52.0,9.0,10.0,7.0,29.0,6.0,22.0
2016,jun,26,51.0,52.0,48.0, ,57.0,80.0,28.0,0.0,29.88,29.91,29.86,72.0,90.0,55.0,9.0,10.0,6.0,0.0,5.0,22.0
2016,jun,27,51.0,53.0,47.0, ,51.0,72.0,22.0,0.0,29.9,29.93,29.87,76.0,93.0,59.0,10.0,10.0,8.0,0.0,7.0,20.0
2016,jun,28,54.0,59.0,51.0, ,58.0,83.0,35.0,0.0,29.93,29.96,29.88,72.0,88.0,57.0,10.0,10.0,8.0,0.0,3.0,10.0
2016,jun,29,52.0,54.0,51.0, ,68.0,90.0,46.0,0.0,29.92,29.95,29.89,64.0,77.0,54.0,9.0,10.0,6.0,0.0,6.0,17.0
2016,jun,30,51.0,53.0,50.0, ,76.0,93.0,48.0,0.0,29.9,29.94,29.85,63.0,75.0,53.0,8.0,10.0,1.0,0.0,6.0,14.0
