year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2016,jul,1,53.0,57.0,51.0, ,76.0,88.0,57.0,0.0,29.92,29.96,29.88,64.0,73.0,55.0,9.0,10.0,2.0,0.0,5.0,12.0
2016,jul,2,56.0,58.0,53.0, ,76.0,93.0,50.0,0.0,29.98,30.03,29.94,68.0,79.0,57.0,8.0,10.0,1.0,18.0,5.0,14.0
2016,jul,3,54.0,57.0,52.0, ,75.0,93.0,48.0,0.0,30.04,30.08,30.01,66.0,78.0,55.0,10.0,10.0,3.0,17.0,6.0,15.0
2016,jul,4,53.0,55.0,48.0, ,72.0,86.0,50.0,0.0,30.04,30.07,29.99,64.0,75.0,54.0,10.0,10.0,10.0,21.0,5.0,16.0
2016,jul,5,54.0,54.0,53.0, ,74.0,87.0,46.0,0.0,30.01,30.05,29.96,66.0,77.0,57.0,10.0,10.0,10.0,0.0,7.0,18.0
2016,jul,6,53.0,54.0,53.0, ,75.0,87.0,48.0,0.0,30.0,30.05,29.96,66.0,75.0,57.0,10.0,10.0,8.0,0.0,6.0,18.0
2016,jul,7,53.0,54.0,53.0, ,76.0,89.0,48.0,0.0,29.99,30.01,29.95,66.0,75.0,57.0,9.0,10.0,3.0,0.0,7.0,18.0
2016,jul,8,54.0,55.0,53.0, ,76.0,90.0,46.0,0.0,30.01,30.03,29.97,65.0,78.0,55.0,10.0,10.0,6.0,0.0,7.0,16.0
2016,jul,9,54.0,56.0,52.0, ,69.0,90.0,33.0,0.0,30.02,30.06,29.99,70.0,86.0,55.0,9.0,10.0,6.0,23.0,5.0,21.0
2016,jul,10,49.0,52.0,36.0, ,60.0,80.0,27.0,0.0,29.97,30.03,29.91,66.0,79.0,55.0,10.0,10.0,9.0,30.0,10.0,28.0
2016,jul,11,51.0,52.0,48.0, ,70.0,90.0,40.0,0.0,29.9,29.93,29.86,64.0,77.0,53.0,9.0,10.0,7.0,0.0,8.0,22.0
2016,jul,12,52.0,53.0,50.0, ,69.0,89.0,33.0,0.0,29.93,29.97,29.88,68.0,84.0,55.0,9.0,10.0,7.0,0.0,7.0,21.0
2016,jul,13,52.0,54.0,48.0, ,75.0,90.0,43.0,0.0,29.98,30.02,29.93,66.0,79.0,53.0,9.0,10.0,2.0,0.0,5.0,14.0
2016,jul,14,53.0,55.0,51.0, ,75.0,93.0,39.0,0.0,29.99,30.04,29.95,68.0,82.0,54.0,8.0,10.0,2.0,0.0,4.0,14.0
2016,jul,15,53.0,54.0,52.0, ,76.0,93.0,42.0,0.0,29.96,30.01,29.92,66.0,80.0,54.0,8.0,10.0,2.0,0.0,4.0,12.0
2016,jul,16,53.0,54.0,52.0, ,72.0,87.0,49.0,0.0,29.94,29.98,29.9,64.0,75.0,55.0,9.0,10.0,3.0,0.0,4.0,12.0
2016,jul,17,53.0,54.0,52.0, ,74.0,90.0,45.0,0.0,29.96,30.03,29.91,66.0,77.0,55.0,9.0,10.0,3.0,0.0,5.0,13.0
2016,jul,18,54.0,55.0,53.0, ,70.0,87.0,45.0,0.0,30.04,30.08,30.0,67.0,79.0,57.0,10.0,10.0,9.0,0.0,6.0,20.0
2016,jul,19,52.0,56.0,47.0, ,73.0,89.0,43.0,0.0,30.04,30.07,29.99,65.0,79.0,52.0,9.0,10.0,2.0,0.0,5.0,18.0
2016,jul,20,51.0,54.0,48.0, ,63.0,86.0,31.0,0.0,30.0,30.03,29.96,68.0,84.0,53.0,10.0,10.0,10.0,0.0,5.0,21.0
2016,jul,21,52.0,54.0,46.0, ,71.0,93.0,25.0,0.0,30.01,30.04,29.99,70.0,88.0,54.0,8.0,10.0,1.0,24.0,7.0,20.0
2016,jul,22,51.0,53.0,48.0, ,56.0,81.0,28.0,0.0,29.97,30.01,29.92,70.0,84.0,57.0,10.0,10.0,10.0,32.0,7.0,23.0
2016,jul,23,51.0,53.0,49.0, ,60.0,84.0,31.0,0.0,29.86,29.95,29.79,68.0,84.0,55.0,9.0,10.0,8.0,28.0,9.0,23.0
2016,jul,24,53.0,58.0,49.0, ,63.0,87.0,32.0,0.0,29.88,29.93,29.82,72.0,88.0,55.0,9.0,10.0,5.0,0.0,4.0,9.0
2016,jul,25,52.0,56.0,50.0,Fog,80.0,97.0,43.0,0.0,29.94,29.98,29.89,66.0,81.0,52.0,5.0,10.0,0.0,0.0,2.0,12.0
2016,jul,26,52.0,55.0,50.0, ,76.0,96.0,34.0,0.0,29.9,29.94,29.86,68.0,86.0,52.0,6.0,10.0,1.0,0.0,4.0,15.0
2016,jul,27,53.0,55.0,51.0, ,63.0,87.0,34.0,0.0,29.9,29.92,29.86,70.0,86.0,57.0,10.0,10.0,10.0,0.0,3.0,12.0
2016,jul,28,54.0,55.0,52.0, ,72.0,94.0,36.0,0.0,29.9,29.94,29.86,68.0,82.0,55.0,9.0,10.0,3.0,0.0,5.0,13.0
2016,jul,29,55.0,56.0,53.0, ,73.0,93.0,42.0,0.0,29.85,29.89,29.81,68.0,82.0,55.0,10.0,10.0,5.0,0.0,5.0,14.0
2016,jul,30,55.0,59.0,54.0,Fog,76.0,93.0,37.0,0.0,29.84,29.88,29.81,70.0,86.0,55.0,7.0,10.0,0.0,0.0,4.0,13.0
2016,jul,31,58.0,61.0,56.0, ,77.0,93.0,44.0,0.0,29.9,29.94,29.86,72.0,84.0,59.0,9.0,10.0,1.0,0.0,3.0,13.0
