,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2016,sep,1,54.0,56.0,50.0, ,68.0,87.0,51.0,0.0,29.93,29.96,29.9,65.0,73.0,55.0,10.0,10.0,10.0,0.0,15.0,18.0
1,2016,sep,2,53.0,55.0,50.0, ,73.0,87.0,46.0,0.0,29.91,29.97,29.87,66.0,78.0,54.0,10.0,10.0,9.0,0.0,5.0,13.0
2,2016,sep,3,54.0,55.0,53.0, ,75.0,89.0,57.0,0.0,29.89,29.94,29.85,63.0,71.0,57.0,10.0,10.0,8.0,0.0,6.0,16.0
3,2016,sep,4,51.0,53.0,49.0, ,67.0,83.0,44.0,0.0,29.88,29.92,29.84,64.0,73.0,55.0,10.0,10.0,2.0,25.0,5.0,20.0
4,2016,sep,5,51.0,53.0,48.0, ,73.0,90.0,46.0,0.0,29.83,29.88,29.79,63.0,75.0,53.0,10.0,10.0,6.0,25.0,7.0,21.0
5,2016,sep,6,50.0,54.0,44.0,Fog,76.0,100.0,23.0,0.0,29.83,29.86,29.8,67.0,86.0,48.0,6.0,10.0,0.0,26.0,2.0,21.0
6,2016,sep,7,55.0,59.0,48.0,Fog,77.0,97.0,42.0,0.0,29.92,30.06,29.81,67.0,82.0,53.0,7.0,10.0,0.0,0.0,4.0,9.0
7,2016,sep,8,57.0,59.0,55.0, ,71.0,86.0,52.0,0.0,30.05,30.11,30.0,70.0,78.0,62.0,10.0,10.0,9.0,0.0,5.0,14.0
8,2016,sep,9,55.0,57.0,50.0, ,74.0,87.0,50.0,0.0,30.02,30.05,29.99,66.0,77.0,54.0,10.0,10.0,9.0,0.0,5.0,16.0
9,2016,sep,10,56.0,57.0,55.0, ,71.0,90.0,48.0,0.0,30.05,30.08,30.02,68.0,78.0,59.0,10.0,10.0,3.0,0.0,7.0,14.0
10,2016,sep,11,55.0,56.0,54.0, ,77.0,90.0,48.0,0.0,30.06,30.12,29.99,66.0,75.0,57.0,8.0,10.0,3.0,0.0,6.0,15.0
11,2016,sep,12,53.0,55.0,49.0, ,70.0,83.0,53.0,0.0,29.94,29.99,29.89,66.0,72.0,60.0,10.0,10.0,10.0,0.0,5.0,13.0
12,2016,sep,13,46.0,48.0,43.0, ,55.0,72.0,38.0,0.0,29.96,30.04,29.9,64.0,72.0,55.0,10.0,10.0,10.0,20.0,4.0,12.0
