year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2014,jun,1,49.0,51.0,48.0, ,73.0,86.0,46.0,0.0,29.9,29.93,29.87,62.0,73.0,52.0,9.0,10.0,5.0,0.0,5.0,15.0
2014,jun,2,49.0,52.0,47.0, ,71.0,86.0,47.0,0.0,29.92,29.95,29.88,60.0,68.0,53.0,10.0,10.0,7.0,0.0,6.0,20.0
2014,jun,3,50.0,51.0,49.0, ,67.0,83.0,47.0,0.0,29.92,29.96,29.88,63.0,72.0,55.0,10.0,10.0,10.0,0.0,9.0,20.0
2014,jun,4,50.0,52.0,48.0, ,71.0,88.0,48.0,0.0,29.88,29.91,29.83,63.0,73.0,53.0,9.0,10.0,7.0,0.0,8.0,17.0
2014,jun,5,51.0,52.0,50.0, ,75.0,90.0,46.0,0.0,29.87,29.9,29.84,63.0,73.0,53.0,9.0,10.0,7.0,0.0,6.0,18.0
2014,jun,6,51.0,52.0,50.0, ,72.0,94.0,46.0,0.0,29.86,29.89,29.83,63.0,75.0,53.0,10.0,10.0,8.0,0.0,7.0,15.0
2014,jun,7,51.0,52.0,50.0, ,72.0,88.0,51.0,0.0,29.84,29.88,29.8,63.0,72.0,55.0,9.0,10.0,5.0,0.0,7.0,17.0
2014,jun,8,52.0,54.0,50.0, ,72.0,94.0,48.0,0.0,29.81,29.85,29.77,64.0,75.0,53.0,8.0,10.0,3.0,79.0,4.0,10.0
2014,jun,9,53.0,55.0,51.0, ,82.0,94.0,50.0,0.0,29.79,29.8,29.74,64.0,75.0,53.0,6.0,10.0,1.0,0.0,2.0,9.0
2014,jun,10,55.0,56.0,53.0, ,81.0,100.0,57.0,0.0,29.82,29.9,29.78,62.0,72.0,53.0,8.0,10.0,2.0,0.0,4.0,12.0
2014,jun,11,55.0,56.0,53.0, ,77.0,90.0,59.0,0.0,29.91,29.94,29.88,64.0,71.0,59.0,10.0,10.0,10.0,21.0,4.0,8.0
2014,jun,12,53.0,54.0,50.0, ,72.0,90.0,49.0,0.0,29.95,29.97,29.92,63.0,73.0,54.0,10.0,10.0,10.0,58.0,5.0,18.0
2014,jun,13,51.0,52.0,48.0, ,78.0,100.0,51.0,0.0,29.94,29.98,29.89,61.0,73.0,51.0,10.0,10.0,6.0,53.0,6.0,21.0
2014,jun,14,49.0,52.0,43.0, ,69.0,90.0,36.0,0.0,29.87,29.91,29.81,62.0,80.0,46.0,9.0,10.0,7.0,0.0,4.0,17.0
2014,jun,15,50.0,52.0,46.0, ,77.0,93.0,54.0,0.0,29.89,29.92,29.83,58.0,68.0,50.0,8.0,10.0,4.0,59.0,6.0,20.0
2014,jun,16,49.0,50.0,47.0, ,70.0,80.0,52.0,0.0,29.94,29.96,29.91,60.0,70.0,55.0,10.0,10.0,10.0,58.0,7.0,21.0
2014,jun,17,48.0,50.0,45.0, ,72.0,87.0,52.0,0.0,29.94,29.97,29.92,58.0,69.0,50.0,10.0,10.0,10.0,20.0,4.0,17.0
2014,jun,18,48.0,52.0,43.0, ,69.0,94.0,32.0,0.0,29.94,29.97,29.91,60.0,77.0,46.0,9.0,10.0,7.0,23.0,4.0,17.0
2014,jun,19,51.0,52.0,47.0, ,80.0,100.0,31.0,0.0,29.95,29.99,29.93,66.0,81.0,51.0,7.0,10.0,2.0,0.0,4.0,22.0
2014,jun,20,49.0,52.0,31.0,Fog,76.0,100.0,14.0,0.0,29.92,29.96,29.86,67.0,87.0,48.0,7.0,10.0,0.0,0.0,3.0,20.0
2014,jun,21,51.0,52.0,48.0, ,71.0,93.0,40.0,0.0,29.88,29.92,29.86,64.0,78.0,51.0,9.0,10.0,5.0,28.0,5.0,21.0
2014,jun,22,50.0,52.0,46.0, ,83.0,100.0,49.0,0.0,29.93,29.96,29.9,60.0,72.0,48.0,6.0,10.0,1.0,41.0,4.0,21.0
2014,jun,23,50.0,52.0,48.0, ,77.0,97.0,49.0,0.0,29.95,29.97,29.93,62.0,72.0,51.0,9.0,10.0,3.0,0.0,4.0,14.0
2014,jun,24,51.0,53.0,46.0, ,76.0,100.0,44.0,0.0,29.95,29.98,29.93,62.0,78.0,48.0,9.0,10.0,5.0,28.0,5.0,24.0
2014,jun,25,53.0,54.0,50.0,Fog,85.0,100.0,51.0,0.0,29.95,29.97,29.9,62.0,72.0,51.0,8.0,10.0,0.0,28.0,6.0,23.0
2014,jun,26,54.0,55.0,52.0, ,82.0,100.0,53.0,0.0,29.95,29.97,29.92,63.0,73.0,53.0,9.0,10.0,2.0,31.0,5.0,25.0
2014,jun,27,54.0,55.0,49.0, ,84.0,100.0,34.0,0.0,29.91,29.95,29.87,66.0,80.0,53.0,8.0,10.0,1.0,29.0,8.0,23.0
2014,jun,28,53.0,56.0,50.0, ,70.0,96.0,46.0,0.0,29.87,29.91,29.84,64.0,77.0,53.0,10.0,10.0,10.0,31.0,7.0,23.0
2014,jun,29,50.0,52.0,44.0, ,62.0,84.0,25.0,0.0,29.86,29.89,29.82,66.0,84.0,51.0,10.0,10.0,9.0,0.0,5.0,20.0
2014,jun,30,55.0,59.0,50.0, ,79.0,100.0,57.0,0.0,29.88,29.91,29.85,64.0,75.0,53.0,9.0,10.0,3.0,0.0,5.0,12.0
