year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2014,dec,1,53.0,58.0,49.0, ,84.0,100.0,57.0,0.0,30.05,30.13,29.93,60.0,71.0,48.0,10.0,10.0,10.0,0.0,2.0,13.0
2014,dec,2,56.0,58.0,54.0,Rain,86.0,97.0,73.0,0.7,29.83,29.91,29.77,60.0,64.0,55.0,8.0,10.0,2.0,25.0,6.0,18.0
2014,dec,3,57.0,59.0,55.0,Rain,80.0,90.0,63.0,0.0,29.89,29.94,29.86,65.0,70.0,60.0,10.0,10.0,8.0,26.0,9.0,14.0
2014,dec,4,58.0,61.0,56.0,Rain,90.0,100.0,81.0,0.42,29.99,30.05,29.92,60.0,64.0,57.0,8.0,10.0,1.0,0.0,3.0,8.0
2014,dec,5,57.0,60.0,54.0,Rain,87.0,97.0,70.0,0.08,30.08,30.13,30.04,60.0,66.0,55.0,10.0,10.0,3.0,0.0,4.0,8.0
2014,dec,6,57.0,59.0,54.0, ,90.0,100.0,57.0,0.0,30.19,30.22,30.14,62.0,70.0,55.0,9.0,10.0,1.0,0.0,3.0,13.0
2014,dec,7,55.0,57.0,51.0,Fog,93.0,100.0,60.0,0.0,30.18,30.23,30.15,58.0,66.0,51.0,6.0,10.0,0.0,0.0,4.0,16.0
2014,dec,8,51.0,57.0,45.0,Fog,90.0,100.0,49.0,0.0,30.13,30.18,30.07,58.0,71.0,46.0,7.0,10.0,0.0,0.0,5.0,20.0
2014,dec,9,50.0,58.0,45.0, ,74.0,93.0,44.0,0.0,30.09,30.17,30.02,60.0,71.0,48.0,10.0,10.0,9.0,20.0,6.0,23.0
2014,dec,10,49.0,55.0,43.0, ,78.0,93.0,52.0,0.0,29.98,30.04,29.91,56.0,66.0,46.0,10.0,10.0,10.0,0.0,3.0,7.0
