year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2016,mar,1,46.0,57.0,39.0, ,58.0,83.0,38.0,0.0,30.09,30.13,30.06,63.0,75.0,50.0,10.0,10.0,10.0,0.0,5.0,17.0
2016,mar,2,49.0,56.0,40.0, ,79.0,90.0,47.0,0.0,30.11,30.14,30.07,58.0,71.0,45.0,10.0,10.0,10.0,0.0,4.0,18.0
2016,mar,3,52.0,56.0,44.0, ,82.0,93.0,60.0,0.0,30.09,30.14,30.05,56.0,66.0,46.0,10.0,10.0,10.0,0.0,5.0,16.0
2016,mar,4,56.0,60.0,50.0,Fog,89.0,97.0,73.0,0.0,30.03,30.08,29.99,60.0,69.0,51.0,7.0,10.0,0.0,0.0,5.0,13.0
2016,mar,5,58.0,61.0,54.0,Rain,90.0,96.0,80.0,1.24,29.94,30.03,29.84,62.0,66.0,57.0,5.0,10.0,1.0,30.0,8.0,21.0
2016,mar,6,50.0,57.0,45.0,Rain,78.0,90.0,53.0,0.44,29.97,30.06,29.84,56.0,63.0,50.0,8.0,10.0,2.0,29.0,10.0,17.0
2016,mar,7,47.0,51.0,42.0,"Rain,Thunderstorm",82.0,90.0,69.0,0.99,29.85,29.97,29.78,52.0,57.0,48.0,7.0,10.0,2.0,45.0,11.0,32.0
2016,mar,8,46.0,49.0,41.0, ,73.0,89.0,52.0,0.0,30.07,30.12,29.99,55.0,64.0,46.0,10.0,10.0,10.0,23.0,7.0,21.0
2016,mar,9,51.0,56.0,43.0, ,79.0,93.0,57.0,0.0,30.09,30.14,30.05,58.0,70.0,46.0,10.0,10.0,7.0,0.0,6.0,21.0
2016,mar,10,51.0,56.0,46.0,Fog,85.0,100.0,52.0,0.0,30.05,30.1,29.98,60.0,73.0,48.0,7.0,10.0,0.0,0.0,3.0,14.0
2016,mar,11,49.0,54.0,46.0,"Fog,Rain",85.0,97.0,67.0,0.84,29.94,30.12,29.85,56.0,61.0,50.0,5.0,10.0,0.0,32.0,7.0,22.0
2016,mar,12,45.0,49.0,40.0, ,78.0,93.0,52.0,0.0,30.19,30.22,30.13,52.0,63.0,42.0,10.0,10.0,10.0,28.0,4.0,15.0
2016,mar,13,54.0,57.0,46.0,Rain,88.0,94.0,78.0,0.38,30.14,30.21,30.11,56.0,62.0,50.0,7.0,10.0,2.0,0.0,3.0,10.0
2016,mar,14,54.0,56.0,44.0,Rain,85.0,94.0,58.0,0.05,30.15,30.2,30.11,60.0,66.0,55.0,7.0,10.0,2.0,28.0,5.0,18.0
2016,mar,15,42.0,46.0,36.0, ,52.0,77.0,32.0,0.0,30.11,30.18,30.04,60.0,73.0,48.0,10.0,10.0,10.0,21.0,4.0,15.0
2016,mar,16,46.0,53.0,39.0, ,48.0,70.0,35.0,0.0,29.97,30.04,29.89,69.0,81.0,57.0,10.0,10.0,10.0,0.0,6.0,13.0
