year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2014,mar,1,52.0,54.0,51.0,Rain,83.0,90.0,72.0,1.41,29.7,29.9,29.59,58.0,62.0,55.0,7.0,10.0,2.0,37.0,14.0,18.0
2014,mar,2,52.0,54.0,50.0,Rain,89.0,94.0,77.0,0.25,30.07,30.18,29.91,55.0,59.0,51.0,6.0,10.0,1.0,16.0,6.0,9.0
2014,mar,3,50.0,53.0,47.0,Fog,84.0,94.0,57.0,0.0,30.13,30.19,30.06,58.0,66.0,51.0,7.0,10.0,0.0,0.0,3.0,17.0
2014,mar,4,53.0,56.0,51.0, ,86.0,100.0,67.0,0.0,30.07,30.11,30.02,60.0,66.0,53.0,8.0,10.0,1.0,21.0,5.0,17.0
2014,mar,5,53.0,56.0,51.0,Fog,88.0,100.0,53.0,0.0,30.08,30.1,30.06,62.0,70.0,53.0,5.0,10.0,0.0,0.0,5.0,15.0
2014,mar,6,54.0,59.0,46.0, ,83.0,94.0,60.0,0.0,30.11,30.14,30.06,62.0,68.0,55.0,8.0,10.0,1.0,29.0,4.0,23.0
2014,mar,7,44.0,48.0,41.0, ,54.0,75.0,33.0,0.0,30.07,30.12,30.02,64.0,72.0,55.0,10.0,10.0,10.0,23.0,10.0,15.0
2014,mar,8,42.0,50.0,30.0, ,48.0,74.0,17.0,0.0,30.1,30.16,30.04,66.0,80.0,51.0,10.0,10.0,10.0,0.0,4.0,14.0
2014,mar,9,39.0,46.0,27.0, ,47.0,80.0,15.0,0.0,30.13,30.16,30.1,64.0,80.0,48.0,10.0,10.0,10.0,0.0,2.0,7.0
2014,mar,10,45.0,52.0,37.0, ,59.0,83.0,31.0,0.0,30.08,30.13,30.04,60.0,75.0,46.0,10.0,10.0,9.0,25.0,7.0,22.0
2014,mar,11,37.0,43.0,29.0, ,36.0,59.0,24.0,0.0,30.0,30.09,29.92,68.0,78.0,54.0,10.0,10.0,10.0,18.0,8.0,15.0
