year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2013,dec,1,36.0,39.0,33.0, ,44.0,71.0,20.0,0.0,30.19,30.26,30.13,63.0,82.0,44.0,10.0,10.0,10.0,20.0,3.0,14.0
2013,dec,2,41.0,52.0,32.0, ,63.0,93.0,19.0,0.0,30.03,30.13,29.96,62.0,79.0,45.0,10.0,10.0,9.0,0.0,4.0,21.0
2013,dec,3,43.0,50.0,31.0,Fog,77.0,100.0,54.0,0.0,29.88,29.94,29.8,56.0,66.0,46.0,7.0,10.0,0.0,36.0,5.0,25.0
2013,dec,4,25.0,31.0,18.0, ,48.0,76.0,21.0,0.0,29.99,30.05,29.91,46.0,57.0,35.0,10.0,10.0,10.0,0.0,3.0,13.0
2013,dec,5,15.0,24.0,7.0, ,34.0,46.0,15.0,0.0,30.09,30.17,30.03,44.0,55.0,33.0,10.0,10.0,10.0,18.0,4.0,14.0
2013,dec,6,22.0,36.0,14.0,Rain,51.0,79.0,21.0,0.01,30.17,30.22,30.12,41.0,55.0,27.0,10.0,10.0,9.0,0.0,2.0,13.0
2013,dec,7,38.0,48.0,26.0,Rain,71.0,94.0,40.0,0.29,30.08,30.22,30.0,48.0,55.0,42.0,8.0,10.0,2.0,26.0,6.0,21.0
2013,dec,8,25.0,27.0,23.0, ,52.0,73.0,35.0,0.0,30.21,30.27,30.16,42.0,51.0,32.0,10.0,10.0,10.0,0.0,6.0,13.0
2013,dec,9,24.0,27.0,21.0, ,53.0,79.0,23.0,0.0,30.29,30.33,30.22,44.0,59.0,30.0,10.0,10.0,10.0,0.0,2.0,10.0
2013,dec,10,23.0,30.0,18.0, ,44.0,65.0,17.0,0.0,30.2,30.32,30.12,50.0,68.0,32.0,10.0,10.0,10.0,0.0,3.0,9.0
2013,dec,11,27.0,40.0,9.0, ,52.0,73.0,9.0,0.0,30.16,30.19,30.13,53.0,71.0,35.0,10.0,10.0,10.0,0.0,1.0,10.0
2013,dec,12,33.0,47.0,23.0, ,65.0,89.0,19.0,0.0,30.2,30.24,30.15,49.0,66.0,32.0,10.0,10.0,7.0,0.0,2.0,15.0
2013,dec,13,31.0,39.0,20.0,Fog,65.0,100.0,15.0,0.0,30.22,30.27,30.17,52.0,71.0,33.0,7.0,10.0,0.0,0.0,3.0,12.0
2013,dec,14,26.0,37.0,22.0, ,41.0,58.0,14.0,0.0,30.27,30.31,30.23,56.0,75.0,37.0,10.0,10.0,10.0,0.0,3.0,9.0
2013,dec,15,31.0,43.0,25.0, ,47.0,67.0,13.0,0.0,30.19,30.27,30.12,59.0,82.0,36.0,10.0,10.0,10.0,0.0,2.0,12.0
2013,dec,16,29.0,32.0,22.0, ,35.0,54.0,10.0,0.0,30.1,30.15,30.06,64.0,84.0,45.0,10.0,10.0,10.0,0.0,3.0,9.0
2013,dec,17,34.0,49.0,25.0, ,44.0,83.0,13.0,0.0,30.06,30.13,30.01,62.0,81.0,44.0,9.0,10.0,5.0,0.0,1.0,10.0
2013,dec,18,49.0,52.0,45.0,Fog,85.0,100.0,67.0,0.0,29.95,30.01,29.86,55.0,60.0,50.0,5.0,10.0,0.0,0.0,3.0,12.0
2013,dec,19,41.0,48.0,33.0,Rain,66.0,89.0,36.0,0.0,29.8,29.89,29.73,52.0,60.0,44.0,9.0,10.0,3.0,22.0,5.0,13.0
