,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2015,feb,1,43.0,52.0,34.0, ,72.0,93.0,33.0,0.0,30.1,30.15,30.06,55.0,73.0,37.0,10.0,10.0,10.0,24.0,3.0,16.0
1,2015,feb,2,45.0,50.0,40.0, ,73.0,93.0,33.0,0.0,30.07,30.12,29.99,60.0,78.0,43.0,10.0,10.0,10.0,0.0,3.0,15.0
2,2015,feb,3,47.0,54.0,38.0,Fog,84.0,100.0,32.0,0.0,30.06,30.1,30.02,59.0,75.0,43.0,6.0,10.0,0.0,0.0,3.0,13.0
3,2015,feb,4,47.0,54.0,40.0,Fog,93.0,100.0,61.0,0.0,30.09,30.14,30.06,54.0,66.0,41.0,4.0,10.0,0.0,0.0,3.0,7.0
4,2015,feb,5,50.0,53.0,42.0, ,88.0,100.0,63.0,0.0,30.06,30.12,29.99,54.0,66.0,42.0,7.0,10.0,1.0,0.0,3.0,9.0
5,2015,feb,6,52.0,57.0,45.0,Rain,77.0,93.0,60.0,0.29,30.07,30.11,29.99,56.0,64.0,48.0,9.0,10.0,2.0,22.0,6.0,15.0
6,2015,feb,7,60.0,61.0,57.0,Rain,95.0,100.0,87.0,0.81,30.09,30.13,30.05,62.0,64.0,60.0,4.0,10.0,1.0,18.0,7.0,14.0
7,2015,feb,8,59.0,61.0,54.0,"Fog,Rain",92.0,100.0,76.0,0.39,30.1,30.17,30.04,62.0,68.0,55.0,8.0,10.0,0.0,22.0,5.0,14.0
8,2015,feb,9,54.0,58.0,49.0,Fog,91.0,100.0,63.0,0.0,30.17,30.22,30.13,60.0,66.0,53.0,5.0,10.0,0.0,0.0,4.0,16.0
9,2015,feb,10,44.0,49.0,40.0, ,57.0,83.0,32.0,0.0,30.05,30.14,29.97,62.0,71.0,52.0,10.0,10.0,10.0,18.0,8.0,14.0
10,2015,feb,11,46.0,52.0,39.0, ,63.0,83.0,36.0,0.0,30.05,30.11,29.98,62.0,78.0,46.0,10.0,10.0,10.0,0.0,4.0,15.0
11,2015,feb,12,44.0,50.0,40.0, ,60.0,83.0,23.0,0.0,30.1,30.15,30.07,64.0,81.0,46.0,10.0,10.0,10.0,0.0,3.0,12.0
12,2015,feb,13,45.0,51.0,40.0, ,61.0,90.0,26.0,0.0,30.06,30.1,30.01,62.0,80.0,44.0,10.0,10.0,10.0,0.0,3.0,14.0
13,2015,feb,14,46.0,52.0,40.0, ,66.0,86.0,25.0,0.0,30.03,30.09,29.99,63.0,80.0,46.0,10.0,10.0,10.0,0.0,2.0,12.0
14,2015,feb,15,51.0,59.0,42.0,Fog,85.0,100.0,51.0,0.0,29.98,30.02,29.92,58.0,72.0,45.0,7.0,10.0,0.0,0.0,3.0,14.0
15,2015,feb,16,52.0,55.0,49.0,Fog,94.0,100.0,75.0,0.0,30.01,30.05,29.97,56.0,62.0,50.0,4.0,10.0,0.0,0.0,2.0,10.0
16,2015,feb,17,50.0,52.0,49.0, ,84.0,90.0,75.0,0.0,30.12,30.18,30.04,54.0,57.0,52.0,10.0,10.0,7.0,0.0,3.0,10.0
17,2015,feb,18,52.0,55.0,50.0, ,84.0,96.0,66.0,0.0,30.14,30.18,30.09,60.0,66.0,53.0,8.0,10.0,5.0,0.0,4.0,12.0
18,2015,feb,19,53.0,55.0,51.0, ,88.0,97.0,65.0,0.0,30.08,30.15,30.03,60.0,66.0,54.0,5.0,7.0,3.0,0.0,4.0,16.0
19,2015,feb,20,52.0,56.0,50.0,Fog,91.0,100.0,63.0,0.0,29.99,30.05,29.91,58.0,66.0,50.0,4.0,8.0,0.0,0.0,3.0,15.0
20,2015,feb,21,50.0,53.0,48.0, ,84.0,97.0,70.0,0.0,29.93,30.01,29.87,56.0,61.0,51.0,7.0,10.0,4.0,0.0,4.0,9.0
21,2015,feb,22,49.0,52.0,45.0,Rain,80.0,96.0,64.0,0.22,29.85,29.88,29.79,54.0,60.0,46.0,9.0,10.0,2.0,21.0,4.0,14.0
22,2015,feb,23,41.0,48.0,36.0, ,78.0,100.0,42.0,0.0,30.0,30.21,29.87,51.0,61.0,41.0,10.0,10.0,2.0,0.0,3.0,13.0
23,2015,feb,24,38.0,45.0,32.0, ,61.0,89.0,27.0,0.0,30.27,30.34,30.22,54.0,69.0,39.0,10.0,10.0,10.0,0.0,4.0,17.0
24,2015,feb,25,41.0,51.0,33.0, ,67.0,93.0,32.0,0.0,30.16,30.28,30.06,52.0,66.0,39.0,10.0,10.0,10.0,26.0,5.0,18.0
25,2015,feb,26,46.0,52.0,39.0, ,74.0,93.0,33.0,0.0,29.95,30.05,29.88,58.0,72.0,43.0,10.0,10.0,8.0,22.0,7.0,20.0
26,2015,feb,27,48.0,53.0,44.0,Fog,87.0,100.0,62.0,0.0,29.85,29.89,29.78,54.0,63.0,45.0,7.0,10.0,0.0,33.0,8.0,25.0
27,2015,feb,28,46.0,49.0,42.0,Rain,86.0,97.0,72.0,0.34,29.83,29.91,29.79,50.0,55.0,44.0,10.0,10.0,4.0,0.0,3.0,10.0
