year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
2014,aug,1,59.0,59.0,58.0, ,80.0,96.0,50.0,0.0,29.91,29.95,29.88,70.0,80.0,60.0,10.0,10.0,7.0,0.0,5.0,12.0
2014,aug,2,58.0,59.0,57.0, ,77.0,96.0,50.0,0.0,29.93,29.96,29.89,69.0,82.0,59.0,10.0,10.0,6.0,0.0,5.0,9.0
2014,aug,3,58.0,58.0,57.0, ,81.0,96.0,47.0,0.0,29.95,29.99,29.93,70.0,81.0,59.0,9.0,10.0,4.0,0.0,7.0,14.0
2014,aug,4,56.0,57.0,55.0, ,74.0,90.0,50.0,0.0,29.99,30.02,29.95,68.0,75.0,60.0,10.0,10.0,10.0,0.0,6.0,15.0
2014,aug,5,56.0,58.0,54.0, ,70.0,87.0,46.0,0.0,30.03,30.05,29.99,70.0,79.0,61.0,10.0,10.0,10.0,0.0,5.0,17.0
2014,aug,6,58.0,59.0,57.0, ,80.0,93.0,54.0,0.0,30.02,30.06,29.97,68.0,78.0,60.0,10.0,10.0,10.0,0.0,7.0,17.0
2014,aug,7,59.0,59.0,57.0, ,80.0,93.0,54.0,0.0,29.96,30.01,29.91,68.0,78.0,60.0,10.0,10.0,10.0,0.0,6.0,17.0
2014,aug,8,57.0,59.0,56.0, ,79.0,94.0,53.0,0.0,29.93,29.96,29.9,68.0,79.0,59.0,10.0,10.0,8.0,0.0,6.0,12.0
2014,aug,9,57.0,59.0,55.0, ,79.0,94.0,48.0,0.0,29.96,29.99,29.92,68.0,79.0,57.0,9.0,10.0,6.0,23.0,5.0,17.0
2014,aug,10,56.0,56.0,55.0, ,77.0,90.0,46.0,0.0,29.98,30.02,29.94,68.0,78.0,59.0,10.0,10.0,9.0,0.0,5.0,16.0
2014,aug,11,56.0,57.0,55.0, ,74.0,94.0,50.0,0.0,29.95,29.98,29.93,67.0,79.0,57.0,9.0,10.0,6.0,0.0,7.0,18.0
