,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2017,may,1,50.0,55.0,45.0, ,55.0,80.0,29.0,0.0,29.94,30.01,29.87,70.0,90.0,52.0,10.0,10.0,10.0,30.0,5.0,23.0
1,2017,may,2,52.0,57.0,48.0, ,53.0,78.0,30.0,0.0,29.88,29.92,29.84,73.0,89.0,59.0,10.0,10.0,9.0,0.0,4.0,18.0
2,2017,may,3,54.0,59.0,51.0,Rain,64.0,81.0,42.0,0.0,29.92,29.95,29.88,70.0,82.0,57.0,10.0,10.0,8.0,0.0,4.0,13.0
3,2017,may,4,54.0,58.0,51.0, ,78.0,93.0,52.0,0.0,29.94,29.98,29.91,66.0,78.0,54.0,9.0,10.0,1.0,0.0,3.0,15.0
4,2017,may,5,52.0,56.0,48.0, ,80.0,93.0,61.0,0.0,29.89,29.95,29.83,62.0,72.0,53.0,8.0,10.0,1.0,0.0,8.0,18.0
5,2017,may,6,44.0,48.0,41.0, ,70.0,83.0,48.0,0.0,29.83,29.88,29.75,56.0,62.0,50.0,9.0,10.0,7.0,37.0,7.0,26.0
6,2017,may,7,48.0,51.0,45.0,Rain,80.0,89.0,69.0,0.27,29.85,29.97,29.77,56.0,61.0,51.0,8.0,10.0,2.0,0.0,4.0,10.0
7,2017,may,8,49.0,53.0,47.0, ,80.0,93.0,59.0,0.0,29.94,29.97,29.88,59.0,68.0,50.0,8.0,10.0,4.0,0.0,6.0,20.0
8,2017,may,9,51.0,54.0,48.0, ,83.0,96.0,63.0,0.0,29.89,29.99,29.84,58.0,66.0,51.0,6.0,10.0,1.0,0.0,5.0,12.0
9,2017,may,10,54.0,56.0,52.0, ,82.0,90.0,68.0,0.0,30.04,30.14,29.99,60.0,66.0,57.0,8.0,10.0,4.0,0.0,2.0,10.0
10,2017,may,11,53.0,55.0,50.0, ,72.0,87.0,53.0,0.0,30.12,30.15,30.08,64.0,73.0,55.0,10.0,10.0,10.0,0.0,9.0,18.0
11,2017,may,12,48.0,52.0,39.0, ,67.0,90.0,47.0,0.0,30.05,30.11,30.0,62.0,71.0,53.0,10.0,10.0,10.0,32.0,11.0,22.0
12,2017,may,13,42.0,46.0,38.0, ,57.0,83.0,36.0,0.0,29.99,30.04,29.92,58.0,68.0,51.0,10.0,10.0,10.0,37.0,15.0,29.0
13,2017,may,14,44.0,46.0,42.0, ,67.0,83.0,46.0,0.0,29.92,29.94,29.9,56.0,64.0,48.0,10.0,10.0,10.0,34.0,12.0,26.0
14,2017,may,15,45.0,47.0,42.0, ,69.0,83.0,50.0,0.0,29.96,30.03,29.91,55.0,64.0,46.0,10.0,10.0,10.0,23.0,6.0,17.0
15,2017,may,16,48.0,52.0,45.0, ,72.0,87.0,48.0,0.0,30.05,30.08,30.01,58.0,68.0,51.0,10.0,10.0,4.0,28.0,8.0,22.0
16,2017,may,17,49.0,52.0,45.0, ,76.0,90.0,54.0,0.0,30.0,30.05,29.93,58.0,66.0,50.0,10.0,10.0,8.0,30.0,8.0,22.0
17,2017,may,18,46.0,50.0,40.0, ,62.0,86.0,29.0,0.0,29.92,29.97,29.87,64.0,80.0,48.0,10.0,10.0,7.0,31.0,9.0,23.0
18,2017,may,19,46.0,50.0,38.0, ,53.0,83.0,19.0,0.0,29.93,29.95,29.9,67.0,87.0,50.0,10.0,10.0,9.0,0.0,4.0,16.0
19,2017,may,20,50.0,54.0,43.0, ,63.0,89.0,24.0,0.0,29.91,29.95,29.87,68.0,84.0,52.0,10.0,10.0,7.0,0.0,4.0,20.0
20,2017,may,21,51.0,56.0,48.0,Fog,80.0,96.0,34.0,0.0,29.93,29.99,29.89,66.0,84.0,50.0,5.0,10.0,0.0,0.0,2.0,14.0
21,2017,may,22,52.0,55.0,50.0,Fog,82.0,97.0,50.0,0.0,29.97,29.99,29.94,64.0,75.0,52.0,6.0,10.0,0.0,0.0,4.0,10.0
22,2017,may,23,52.0,55.0,50.0, ,82.0,94.0,50.0,0.0,29.96,30.01,29.91,64.0,75.0,52.0,7.0,10.0,2.0,0.0,5.0,16.0
23,2017,may,24,52.0,52.0,52.0, ,93.0,93.0,93.0,0.0,29.91,29.91,29.91,54.0,54.0,54.0,3.0,5.0,2.0,0.0,5.0,5.0
