,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2015,dec,1,29.0,36.0,24.0, ,42.0,68.0,18.0,0.0,30.14,30.18,30.09,56.0,73.0,39.0,10.0,10.0,10.0,22.0,4.0,14.0
1,2015,dec,2,33.0,49.0,25.0, ,48.0,71.0,17.0,0.0,30.13,30.19,30.06,57.0,73.0,41.0,10.0,10.0,10.0,0.0,3.0,9.0
2,2015,dec,3,45.0,54.0,33.0,"Fog,Rain",73.0,94.0,33.0,0.08,30.09,30.13,30.04,54.0,69.0,39.0,7.0,10.0,0.0,23.0,3.0,13.0
3,2015,dec,4,42.0,47.0,36.0,Fog,64.0,93.0,36.0,0.0,30.16,30.25,30.09,57.0,66.0,48.0,9.0,10.0,0.0,22.0,4.0,17.0
4,2015,dec,5,38.0,46.0,28.0, ,59.0,76.0,20.0,0.0,30.23,30.29,30.17,58.0,72.0,43.0,10.0,10.0,10.0,0.0,2.0,10.0
5,2015,dec,6,41.0,53.0,34.0, ,62.0,81.0,33.0,0.0,30.26,30.32,30.21,56.0,69.0,42.0,10.0,10.0,10.0,0.0,4.0,17.0
6,2015,dec,7,42.0,53.0,36.0, ,48.0,66.0,25.0,0.0,30.19,30.24,30.14,64.0,78.0,51.0,10.0,10.0,10.0,0.0,6.0,20.0
7,2015,dec,8,42.0,44.0,40.0, ,48.0,64.0,29.0,0.0,30.11,30.16,30.07,66.0,77.0,54.0,10.0,10.0,10.0,0.0,4.0,15.0
8,2015,dec,9,47.0,56.0,38.0, ,63.0,86.0,24.0,0.0,30.05,30.11,29.99,63.0,78.0,48.0,10.0,10.0,10.0,0.0,7.0,17.0
9,2015,dec,10,53.0,58.0,48.0,Rain,85.0,90.0,78.0,0.05,29.99,30.05,29.92,57.0,62.0,52.0,8.0,10.0,2.0,0.0,4.0,9.0
10,2015,dec,11,45.0,50.0,38.0,Rain,76.0,89.0,55.0,0.38,29.92,30.02,29.86,54.0,59.0,46.0,8.0,10.0,2.0,29.0,5.0,16.0
11,2015,dec,12,39.0,41.0,38.0, ,56.0,71.0,41.0,0.0,30.12,30.19,30.03,54.0,63.0,46.0,10.0,10.0,10.0,22.0,8.0,15.0
12,2015,dec,13,43.0,54.0,35.0,Rain,76.0,87.0,62.0,0.2,30.06,30.18,29.97,50.0,60.0,41.0,8.0,10.0,1.0,31.0,6.0,18.0
13,2015,dec,14,33.0,37.0,28.0, ,57.0,89.0,32.0,0.0,30.07,30.12,30.04,48.0,59.0,36.0,10.0,10.0,10.0,24.0,7.0,16.0
14,2015,dec,15,28.0,32.0,24.0, ,51.0,78.0,27.0,0.0,30.13,30.19,30.08,46.0,57.0,35.0,10.0,10.0,10.0,17.0,5.0,13.0
