,year,month,day,dew_point_f_avg,dew_point_f_high,dew_point_f_low,events,humidity_%_avg,humidity_%_high,humidity_%_low,precip_in_sum,sea_level_press_in_avg,sea_level_press_in_high,sea_level_press_in_low,temp_f_avg,temp_f_high,temp_f_low,visibility_mi_avg,visibility_mi_high,visibility_mi_low,wind_gust_mph_high,wind_mph_avg,wind_mph_high
0,2015,sep,1,56.0,57.0,55.0, ,73.0,87.0,50.0,0.0,29.93,29.96,29.89,68.0,77.0,60.0,10.0,10.0,7.0,0.0,5.0,13.0
1,2015,sep,2,55.0,58.0,52.0, ,72.0,87.0,47.0,0.0,29.94,29.99,29.89,66.0,80.0,55.0,10.0,10.0,10.0,0.0,4.0,16.0
2,2015,sep,3,54.0,56.0,48.0, ,70.0,83.0,40.0,0.0,29.9,29.95,29.85,68.0,80.0,57.0,10.0,10.0,10.0,29.0,6.0,22.0
3,2015,sep,4,52.0,53.0,49.0, ,67.0,81.0,46.0,0.0,29.89,29.93,29.86,66.0,75.0,55.0,10.0,10.0,10.0,0.0,7.0,20.0
4,2015,sep,5,48.0,52.0,45.0, ,61.0,86.0,32.0,0.0,29.92,29.95,29.89,64.0,80.0,50.0,10.0,10.0,10.0,0.0,4.0,20.0
5,2015,sep,6,42.0,48.0,36.0, ,43.0,77.0,15.0,0.0,29.9,29.94,29.87,70.0,91.0,52.0,10.0,10.0,10.0,29.0,4.0,18.0
6,2015,sep,7,43.0,56.0,31.0, ,41.0,70.0,11.0,0.0,29.88,29.91,29.84,73.0,93.0,53.0,10.0,10.0,10.0,0.0,4.0,13.0
7,2015,sep,8,49.0,60.0,39.0, ,46.0,71.0,15.0,0.0,29.84,29.87,29.8,76.0,95.0,57.0,10.0,10.0,10.0,21.0,4.0,13.0
8,2015,sep,9,54.0,61.0,47.0, ,51.0,76.0,20.0,0.0,29.82,29.85,29.77,79.0,98.0,62.0,10.0,10.0,10.0,0.0,4.0,15.0
9,2015,sep,10,56.0,60.0,52.0, ,51.0,81.0,26.0,0.0,29.84,29.88,29.81,80.0,97.0,64.0,10.0,10.0,10.0,18.0,2.0,12.0
10,2015,sep,11,58.0,61.0,50.0, ,58.0,81.0,23.0,0.0,29.87,29.92,29.83,80.0,93.0,66.0,10.0,10.0,10.0,0.0,2.0,12.0
11,2015,sep,12,59.0,61.0,51.0, ,61.0,84.0,32.0,0.0,29.91,29.94,29.88,78.0,93.0,64.0,10.0,10.0,9.0,0.0,2.0,10.0
12,2015,sep,13,59.0,60.0,52.0, ,67.0,90.0,31.0,0.0,29.82,29.88,29.77,74.0,87.0,63.0,10.0,10.0,9.0,0.0,4.0,10.0
13,2015,sep,14,61.0,63.0,59.0,Rain,77.0,87.0,62.0,0.02,29.81,29.86,29.76,70.0,77.0,64.0,10.0,10.0,10.0,0.0,4.0,14.0
14,2015,sep,15,58.0,63.0,52.0, ,79.0,87.0,68.0,0.0,29.88,29.94,29.82,64.0,69.0,59.0,10.0,10.0,8.0,0.0,8.0,16.0
15,2015,sep,16,50.0,56.0,43.0, ,65.0,86.0,31.0,0.0,30.0,30.03,29.95,64.0,79.0,50.0,10.0,10.0,10.0,26.0,6.0,21.0
16,2015,sep,17,52.0,57.0,45.0, ,67.0,84.0,28.0,0.0,29.97,30.03,29.9,67.0,82.0,53.0,10.0,10.0,10.0,33.0,7.0,26.0
17,2015,sep,18,49.0,57.0,44.0, ,45.0,73.0,18.0,0.0,29.85,29.91,29.78,78.0,95.0,62.0,10.0,10.0,10.0,30.0,8.0,23.0
18,2015,sep,19,48.0,53.0,44.0, ,40.0,63.0,19.0,0.0,29.77,29.81,29.73,79.0,99.0,61.0,10.0,10.0,10.0,0.0,4.0,18.0
19,2015,sep,20,48.0,55.0,46.0, ,38.0,57.0,20.0,0.0,29.8,29.84,29.77,79.0,96.0,63.0,10.0,10.0,10.0,0.0,5.0,15.0
20,2015,sep,21,57.0,63.0,50.0, ,59.0,81.0,22.0,0.0,29.78,29.87,29.69,80.0,99.0,64.0,10.0,10.0,9.0,17.0,5.0,20.0
21,2015,sep,22,60.0,63.0,57.0, ,72.0,84.0,47.0,0.0,29.9,29.95,29.83,73.0,84.0,63.0,10.0,10.0,9.0,0.0,5.0,15.0
22,2015,sep,23,54.0,58.0,40.0, ,64.0,90.0,20.0,0.0,29.91,29.97,29.84,72.0,84.0,59.0,10.0,10.0,7.0,0.0,7.0,21.0
23,2015,sep,24,45.0,59.0,35.0, ,37.0,70.0,11.0,0.0,29.85,29.88,29.82,80.0,100.0,61.0,10.0,10.0,10.0,17.0,3.0,10.0
24,2015,sep,25,57.0,61.0,53.0, ,63.0,81.0,30.0,0.0,29.87,29.91,29.84,74.0,90.0,61.0,10.0,10.0,10.0,0.0,4.0,15.0
25,2015,sep,26,56.0,59.0,50.0, ,63.0,84.0,26.0,0.0,29.82,29.86,29.77,74.0,91.0,57.0,10.0,10.0,10.0,0.0,5.0,21.0
26,2015,sep,27,58.0,60.0,53.0, ,73.0,87.0,46.0,0.0,29.82,29.86,29.78,70.0,84.0,57.0,9.0,10.0,6.0,0.0,3.0,13.0
27,2015,sep,28,59.0,60.0,57.0, ,78.0,93.0,47.0,0.0,29.89,29.95,29.85,71.0,82.0,62.0,8.0,10.0,4.0,0.0,4.0,16.0
28,2015,sep,29,56.0,59.0,43.0, ,70.0,87.0,26.0,0.0,29.94,29.99,29.9,70.0,82.0,59.0,10.0,10.0,10.0,0.0,6.0,20.0
29,2015,sep,30,53.0,59.0,38.0, ,56.0,87.0,16.0,0.0,29.89,29.96,29.84,76.0,90.0,62.0,10.0,10.0,10.0,31.0,11.0,24.0
